id,datetime,username,tweets,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
681792691013697537,2015-12-29 11:03:39+00:00,shoebwarsi1234,"""I hope akilesh yadav convert india to smart city https://t.co/ZlKP7IX4zg""",0.6808,Positive,0,1,0,0,1,0,1,1
681330906791985152,2015-12-28 04:28:41+00:00,jems4all,"""Looks delicious - Hope Sir @AnupamPkher takes d leadership to resettle the KPs in Kashmir-a new Smart City -gud idea https://t.co/m2M8hDJ182""",0.8519,Positive,0,1,0,0,1,0,1,2
679554625020817408,2015-12-23 06:50:22+00:00,TanayHDixit,"""Hope Dharamshala city will prove that, the city is eligible for smart city.""",0.6808,Positive,0,1,0,0,1,0,1,1
679551828975960064,2015-12-23 06:39:16+00:00,Evr_greenHornet,"""@PMOIndia 
@narendramodi 
@nitin_gadkari 
@NitishKumar 
can our small town of samastipur Bihar be benefited with the smart city plan.
HOPE""",0.7456,Positive,0,2,0,0,1,0,1,1
677832793791971328,2015-12-18 12:48:26+00:00,Obaidlala,"""@PiyushGoyal No electricity 10:30 till sunset on every friday @ Virar Maha, I hope smart city in not just chunavi JUMLA @narendramodi ji""",0.5267,Positive,0,2,0,0,1,0,1,1
677767407394402304,2015-12-18 08:28:36+00:00,smartkakinada,"""@sundarpichai there's small city down south, that's been selected as Smart City. Hope you could help us with your ideas and suggestions""",0.8074,Positive,0,1,0,0,1,0,1,2
677730215078924288,2015-12-18 06:00:49+00:00,saichand2022,"""karimnagar going to smart city in soon .in the replace of Hyderabad.
 we hope you will devolop the karimnagar""",0.6808,Positive,0,1,0,0,1,0,1,1
677583205403402240,2015-12-17 20:16:39+00:00,mountainman2029,"""The smart city space is exciting! Hope Manchester uses the 10m wisely! #smartcity https://t.co/2aV31nh6DH""",0.9039,Positive,0,1,0,0,1,0,1,1
677442263836975104,2015-12-17 10:56:36+00:00,johnwriter,"""I also write poems. Here's my latest poem on Smart City, a pet project of the current dispensation! Hope you like... https://t.co/jw454MZkC4""",0.7088,Positive,0,1,0,0,1,0,1,1
677395218203672576,2015-12-17 07:49:40+00:00,GoForLocation,"""Digital China chairman confident about future development: ""By building up a smart city, we hope to build a virtual cyberspace to sol...""",0.8316,Positive,0,2,0,0,1,0,1,3
677335821158998016,2015-12-17 03:53:38+00:00,sitahyderabadi,"""@KTRTRS Wise decision to transfer Central smart city benefits to another in Telangana Hope it is  Gadwal""",0.8834,Positive,0,1,0,0,1,0,1,1
677122343156731905,2015-12-16 13:45:21+00:00,ChetanPatil222,"""@uddhavthackeray Dear sir forget about smart city. Please help our farmers. They need you more. We already lost our hope in BJP.""",0.8288,Positive,0,1,0,0,1,1,1,2
676906405656440836,2015-12-15 23:27:18+00:00,finkrishna,"""After all the hype,  I hope this smart city scheme doesn't turn out to be one damp squib.""",0.7206,Positive,0,2,0,0,1,0,1,1
676694128726425600,2015-12-15 09:23:47+00:00,smartchandigarh,"""Our Smart City Proposal (SCP) submitted today to Ministry of Urban Development 🌟 Thanks everybody for ur support. Let's hope for the best 🙏""",0.9371,Positive,0,3,0,0,1,0,1,1
676443628445790209,2015-12-14 16:48:23+00:00,2202chinmay,"""@CMOMaharashtra @Dev_Fadnavis unfortunately smart city initatives is not transparent. Hope its not different way for corruption""",-0.2746,Negative,0,1,0,0,1,0,1,1
676332822261579776,2015-12-14 09:28:05+00:00,briznrg,"""We'll be at the smart city event later. Hope to see you there: https://t.co/ubZl6oSKhG @Bristol_2015 @sustainfirst @ofgem @cse_bristol""",0.6808,Positive,0,1,0,0,1,0,1,1
676270731668275200,2015-12-14 05:21:21+00:00,hrushikeshw,"""@praveengedam We the Nashikites hope the SPV would be launched so that Smart City enrollment will still be served.""",0.749,Positive,0,2,0,0,1,0,1,1
676075192884576256,2015-12-13 16:24:21+00:00,abhayjere,"""Today's #SaveSmartPune meeting at Shaniwar wada was a success. I hope tomorrow GB approves Pune's Smart City proposal.""",0.9001,Positive,0,3,0,0,2,0,1,1
675954131606089728,2015-12-13 08:23:18+00:00,aparanjape,"""#Pune Will smart city go the DP way? https://t.co/4RFOTrGtgs ..Hope not..hope the PMC corporators come on board!""",0.4574,Positive,0,3,0,0,2,0,2,2
675871635719745536,2015-12-13 02:55:29+00:00,FrankPasquale,"""@jathansadowski oh and of possible interest: https://t.co/LMa4beZQHx counter to smart city I hope!""",0.7177,Positive,0,1,0,0,1,0,1,1
675710620554027008,2015-12-12 16:15:40+00:00,jaishrisai1,"""Hope its not symbolic development A bullet train here,A smart city there Hope doesnt turn out 2 be #NoVikasSirfBakwas""",0.8176,Positive,0,3,0,0,2,0,2,2
675687756287352832,2015-12-12 14:44:49+00:00,UrbanVN,"""Former CM accuses State Govt of flouting 'Smart City' norms There is a ray of hope for Pimpri Chinchwad getting in… https://t.co/s8L0kPmSrv""",0.4939,Positive,0,1,0,0,1,0,1,1
675372053223096320,2015-12-11 17:50:19+00:00,rishabhkorauwa,"""@narendramodi @AbeShinzo THANKS .U give  a  bullet train project smart city project etc and I hope u do well for our NATION . DO THE BEST ..""",0.9457,Positive,0,1,0,0,1,0,1,2
675324775237967873,2015-12-11 14:42:28+00:00,ganshani,"""@anandibenpatel Really liked Ahmedabad Smart City Hackathon. Hope someday NRI techies are also able to contribute online!""",0.85,Positive,0,1,0,0,1,0,1,1
674753127019515904,2015-12-10 00:50:56+00:00,ClairehBC,"""@tpap_  hope you are going for the USDOT smart city challenge! https://t.co/56qdf0HkwT""",0.7345,Positive,0,1,0,0,1,0,1,1
674538764014772224,2015-12-09 10:39:08+00:00,_dvish,"""@NashikNews I hope first the basic issues are solved than working on smart city""",0.7717,Positive,0,1,0,0,1,0,1,1
674489308049313792,2015-12-09 07:22:37+00:00,akshay019,"""My city also under process to become smart city..hope next 10year before done the work.""",0.4019,Positive,0,1,0,0,1,0,1,1
673900795067142144,2015-12-07 16:24:04+00:00,MaddyConnect,"""@MaiBeerHuBC @TrafflinePune I hope smart city project will bring some relief to all the traffic pain. Cheers! #Pune #Punetraffic""",0.8313,Positive,0,2,0,1,2,1,2,2
673484234644783104,2015-12-06 12:48:48+00:00,ankithfd,"""@amalkurian3 Jan dhan scheme,swacch Bharat scheme, smart city dev plans are few example of modi's plan. Hope u r well aware abt those.""",0.7717,Positive,0,3,0,0,1,0,1,1
672662785193476096,2015-12-04 06:24:40+00:00,udayakandate,"""Hope the smart city planning that takes care. Mean while it is caution for rest of the country to learn from this. https://t.co/5mTo9PgliY""",0.8316,Positive,1,3,0,1,1,0,1,1
672479697595318272,2015-12-03 18:17:08+00:00,DILEEP2602,"""Hope concpt of smart city consider robust Drainage &amp; irrigation systm also 2 tackle unexpctd floods #channaifloods @PMOIndia @MVenkaiahNaidu""",0.7906,Positive,0,1,0,1,1,0,1,1
671756092033003520,2015-12-01 18:21:47+00:00,rajeshmodi1993,"""@narendramodi 
As people cant be chnged to smart ..our so called PM is changing cites to smart city..hope dis can make people more happening""",0.6597,Positive,0,2,0,0,1,0,1,1
671732960706498560,2015-12-01 16:49:52+00:00,shypk,""".@Prashanto6 @IndiaCities Do see https://t.co/4358F6NMjJ for Greater Mumbai's smart city bid. If you're a resident, hope you sent in ideas""",0.7964,Positive,0,1,0,0,1,0,1,1
671415131440586753,2015-11-30 19:46:56+00:00,act_1000ide,"""EQ1 assalamu alaikum mr @HHMansoor  ,i hope mr @hhmansoor can visit &amp; interest about this city, finalist smart city in world -&gt; @ridwankamil""",0.8225,Positive,0,1,0,0,1,0,1,1
671356520026800128,2015-11-30 15:54:02+00:00,bevindacollaco,"""Smart City for Mala, will ensure BJP has a hope of winning Panjim in 2017 - See more at: https://t.co/8J8HG7DjUS""",0.891,Positive,0,1,0,0,1,0,1,1
669889455554080768,2015-11-26 14:44:26+00:00,rvdesai8,"""@SMC_SIL this is a brilliant initiative by SMC !! People centric developt vital 4 smart city !!hope 2 b a part of it https://t.co/iZffQksVRS""",0.9147,Positive,0,2,0,0,2,0,1,2
669670696730103808,2015-11-26 00:15:10+00:00,UrbanVN,"""Mapillary wins smart city award and partnership with Helsingborg We hope that in “4 Years From Now” all smart citi… https://t.co/muGOjOzOHT""",0.9382,Positive,0,2,0,0,2,0,2,3
669256235569520640,2015-11-24 20:48:15+00:00,SouthpawTales,"""Enjoyed this piece on @ATLTechEdge about making @Cityofatlanta a smart city. Just hope there's an infosec plan too!  https://t.co/F722C8AohP""",0.8478,Positive,0,3,0,0,2,0,1,2
669213458336907264,2015-11-24 17:58:16+00:00,ajay9774,"""@OfficeOfRG They have  big hope, to see your kind participation in progressing the smart city agenda in Raebareli city.""",0.8402,Positive,0,2,0,0,3,0,1,2
669180824151977984,2015-11-24 15:48:35+00:00,TammieSouza,"""I hope not. #Chicago is a smart city @dsplayt5 @fox32news @Suntimes""",0.1635,Positive,0,1,0,0,1,0,1,1
668868690620710913,2015-11-23 19:08:17+00:00,Balasgurus_,"""Hope Modi didn't mean or presume this concept of a Smart City..😉 https://t.co/nAVYOdVbwW""",0.6808,Positive,0,1,0,0,1,0,1,1
668720322279964672,2015-11-23 09:18:43+00:00,Aditya_kr01,"""Hi this is your, VJ ADI hope India gets a successful future in smart city makeover""",0.8555,Positive,0,2,0,0,2,0,1,1
667547560584712192,2015-11-20 03:38:35+00:00,DaRealNakz,"""@CMOMaharashtra @Dev_Fadnavis Hon. Sir, we believe in you. We hope you will make #NaviMumbai truly a smart city.""",0.8176,Positive,0,1,0,0,1,0,1,2
667460994327830528,2015-11-19 21:54:36+00:00,attshape,"""MT @creepyed: I'll be in the Bay Area for an @attdeveloper Smart City Hackathon. Hope to see you there! https://t.co/VVPxuA3bMw #ATTemployee""",0.7088,Positive,0,1,0,0,1,0,1,1
667458312976232448,2015-11-19 21:43:57+00:00,creepyed,"""I'll be in the Bay Area for an @attdeveloper Smart City Hackathon. Hope to see you there! https://t.co/jLxVVYjODJ""",0.7088,Positive,0,1,0,0,1,0,1,1
667389646423347200,2015-11-19 17:11:05+00:00,sbcSustain,"""@JordiPonti you're welcome, Jordi! We're glad to hear that :) Hope to see you at the Smart City &amp; Living program https://t.co/BwRja6OiHG""",0.9312,Positive,0,2,0,0,2,0,1,1
666934244413939712,2015-11-18 11:01:29+00:00,r_amiya,"""Now I am opened. Going to support Rourkela for smart city. Let's take the chalange.  Arvind now hope u r happy with me. :p Meet u soon dear.""",0.9246,Positive,0,1,0,0,1,0,1,1
666617759728578560,2015-11-17 14:03:53+00:00,cashbycycling,"""Retweeted Sbootcamp Amsterdam (@sbcAmsterdam):

@basgras @cashbycycling hope to see you at the Smart City &amp;... https://t.co/FQZ5WXzhlA""",0.6808,Positive,0,1,0,0,1,0,1,1
666617500877107204,2015-11-17 14:02:52+00:00,cashbycycling,"""We had such a great morning at @sbcAmsterdam full of new learnings! Thanks &amp; hope to see you at Smart City &amp; living program! #sbcFastTrack""",0.9214,Positive,0,2,0,0,1,0,1,1
666610965115502592,2015-11-17 13:36:53+00:00,sbcSustain,"""@basgras @cashbycycling hope to see you at the Smart City &amp; Living program! https://t.co/BwRja6OiHG""",0.7088,Positive,0,1,0,0,1,0,1,1
666610858362052608,2015-11-17 13:36:28+00:00,sbcSustain,"""You're welcome! Hope to see you at the Smart City &amp; Living program :) https://t.co/BwRja6OiHG https://t.co/biFTlXjIt6""",0.8977,Positive,0,1,0,0,1,0,1,1
666477618946969600,2015-11-17 04:47:01+00:00,ypmittal1985,"""@ETRealEstate Ever year we see floods in large cities this year it has been Mumbai,Delhi&amp; now Chennai.Hope smart city designers l take care""",0.7096,Positive,0,0,0,1,0,0,0,0
666196556417142784,2015-11-16 10:10:11+00:00,sundarmail,"""Hope Smart City Plan (which in my opinion is a basic city needs) would help to address https://t.co/YFqTeCkpOH""",0.8074,Positive,0,2,0,0,1,0,1,1
665727229180055554,2015-11-15 03:05:14+00:00,Bbsr2SmartCity,"""Proposal under Smart City will be submitted by 15Dec to Govt.We have one month to go. Hope to get more responses in Idea Box on our website""",0.6808,Positive,0,2,0,0,1,0,1,1
665222019542343680,2015-11-13 17:37:43+00:00,pareshpdppl,"""#NaMosteLondon #Cameron wow that's hope for smart city and investment coming in.""",0.8555,Positive,0,1,0,0,1,0,1,1
664927304263467008,2015-11-12 22:06:37+00:00,MattEvansMelb,"""Let's hope a Smart City focus will soon get the recognition it requires in Planning Policy &amp; Strategies here in Aust…https://t.co/DezfXwPoaM""",0.6808,Positive,0,2,0,0,1,0,1,1
664822420558053376,2015-11-12 15:09:51+00:00,maheshkumarsaxe,"""@toiindianews 
Nice 2 know GOI's plan 4 making Ajmer Sharif a smart city.Hope it includes providing facilities 2 zayreens @ moderate rates.""",0.6705,Positive,0,1,0,0,0,0,0,0
664444648413245440,2015-11-11 14:08:43+00:00,prasadbk,"""@AUThackeray Hope to see the Smart City soon.""",0.6808,Positive,0,1,0,0,1,0,1,1
664105351696904192,2015-11-10 15:40:28+00:00,punedaily,"""Great stuff! Let's hope #Pune saves better through its quest to becoming a smart city @KunalKumarPMC @SmartPune  https://t.co/hKqJU70Zd9""",0.9168,Positive,0,2,0,0,2,0,1,2
663967601534640128,2015-11-10 06:33:06+00:00,abhisingh34,"""Hello everyone,
As we all know that our city is selected for SMART CITY project and I hope it will become one of... https://t.co/zoEvtYNoyB""",0.7456,Positive,0,1,0,0,1,0,1,1
663592010331217920,2015-11-09 05:40:38+00:00,ankurgupta_IN,"""I hope @smartnewdelhi is concerned about this in NDMC Area for Smart City in Delhi. @ArvindKejriwal  https://t.co/MD3TLmIiiV""",0.6808,Positive,0,1,0,0,1,0,1,1
663563616621326336,2015-11-09 03:47:49+00:00,rjm2295,"""@narendramodi 
Faith. Hope u will consider this small points Because today more than a smart city we need""SMART CITIZENS""...!!!""",0.8609,Positive,0,2,0,0,2,0,1,2
662981257324834816,2015-11-07 13:13:43+00:00,Kavita_M57,"""@CMOMaharashtra @Dev_Fadnavis hope smart city includes smart roads. Biggest bane of Mumbai""",0.8074,Positive,1,1,1,1,1,0,1,1
662935588157411328,2015-11-07 10:12:15+00:00,JRNYCProperties,"""TY! RatnaniHitesh: Smart city hope brightens with Amrut promise for #Pimpri #Chinchwad https://t.co/BZeaWOhHQR""",0.8655,Positive,0,1,0,0,2,0,2,2
662933704092745728,2015-11-07 10:04:46+00:00,KedarNiwasi,"""Smart city hope brightens with Amrut promise for #Pimpri #Chinchwad https://t.co/jIVMKp78Q2""",0.8555,Positive,0,1,0,0,2,0,2,2
662251781829840897,2015-11-05 12:55:03+00:00,dharmesh2000,"""@makeinindia i hope #kejriwal will not ask anything for free in those smart city because it cost money.india is nice place to invest .""",0.8934,Positive,0,1,0,0,1,0,1,1
662230446969778177,2015-11-05 11:30:16+00:00,Realty_Et,"""ETRealty | Smart city hope brightens with Amrut promise for Pimpri Chinchwad https://t.co/ZORcyJxZlZ""",0.8555,Positive,0,1,0,0,2,0,2,2
662206306791653376,2015-11-05 09:54:21+00:00,punefast,"""Smart city hope brightens with Amrut promise | Pune NYOOOZ https://t.co/z8JjNqcHYR""",0.8555,Positive,0,1,0,0,2,0,2,2
662179882554781699,2015-11-05 08:09:21+00:00,smartcityworld,"""Smart city hope brightens with Amrut promise | Pune NYOOOZ https://t.co/vzju24UZZ7 #SmartCities""",0.8555,Positive,0,1,0,0,2,0,2,2
662174142083563520,2015-11-05 07:46:32+00:00,InsightCity,"""Smart city hope brightens with Amrut promise | Pune NYOOOZ - Summary: PIMPRI CHINCHWAD: If not the Smart Cities... https://t.co/zJ9oEUS0kO""",0.9022,Positive,0,1,0,0,2,0,2,2
662166673290625024,2015-11-05 07:16:52+00:00,UrbanVN,"""Smart city hope brightens with Amrut promise | Pune NYOOOZ Summary: PIMPRI CHINCHWAD: If not the Smart Cities Miss… https://t.co/2FL87RAiTA""",0.9022,Positive,0,1,0,0,2,0,2,2
662152629405904896,2015-11-05 06:21:03+00:00,PRoactBrandComm,"""Smart city hope brightens with Amrut promise
https://t.co/GECUpslw7c""",0.8555,Positive,0,1,0,0,2,0,2,2
662101035016523776,2015-11-05 02:56:02+00:00,UnitedoneDelhi,"""Smart city hope brightens with Amrut promise https://t.co/apvu9MXuPI #smartcity  #india #smarthome  #amrut  #SmartCityExpo  #hope""",0.8555,Positive,0,2,0,0,3,0,3,3
662076188559585280,2015-11-05 01:17:18+00:00,punefast,"""Smart city hope brightens with Amrut promise https://t.co/FsrMfeIlL0""",0.8555,Positive,0,1,0,0,2,0,2,2
